n,Oczekiwana liczba cykli
0,0
1,1
2,1.5004401
3,1.8334401
4,2.0819
5,2.28171
6,2.45475
7,2.5919702
8,2.7152598
9,2.8265603
10,2.93714
11,3.0206203
12,3.1006498
13,3.1855597
14,3.2565506
15,3.31747
16,3.3757899
17,3.4426098
18,3.49807
19,3.5517402
20,3.5929499
21,3.6472003
22,3.6907396
23,3.7289197
24,3.7712798
25,3.8157098
26,3.8575702
27,3.8877797
28,3.92861
29,3.9576297
30,3.9992702
31,4.03168
32,4.06203
33,4.08244
34,4.1112595
35,4.14922
36,4.16586
37,4.20916
38,4.22845
39,4.26028
40,4.26408
41,4.3015604
42,4.33659
43,4.3529096
44,4.37259
45,4.3968296
46,4.4254
47,4.4275804
48,4.4606504
49,4.4802
50,4.49724
51,4.52386
52,4.5377197
53,4.5546
54,4.5750604
55,4.5902996
56,4.60742
57,4.6317396
58,4.64934
59,4.6560497
60,4.6844296
61,4.6982
62,4.71507
63,4.72242
64,4.74187
65,4.7548203
66,4.78307
67,4.7900605
68,4.8140903
69,4.8187594
70,4.82276
71,4.8463407
72,4.8492193
73,4.8773003
74,4.89126
75,4.8938003
76,4.91242
77,4.9373803
78,4.93931
79,4.95122
80,4.9732404
81,4.97464
82,4.9903197
83,5.00528
84,5.00051
85,5.01538
86,5.0402904
87,5.04335
88,5.0554204
89,5.0694604
90,5.0835695
91,5.0852
92,5.10799
93,5.11854
94,5.1236205
95,5.14416
96,5.153
97,5.15622
98,5.16655
99,5.17163
